id_unit;id_word;part_of_speech;Word;Translation;Examples of sentences(1);Examples of sentences(2);Examples of sentences(3);Definition;Сollocations;Learned
1;0;n;certificate;сертификат, свидетельство;At the end of of the four-week training course, you will receive a certificate.;This certificate could be renewed once if necessary.;Without a high school certificate, you have no chance of going anywhere;an official document that gives details to show that something is true;university certificate;0
1;1;n;commitment;обязательство;You're afraid of commitment.;I have a personal commitment.;Here, a commitment by local authorities is fundamentally important.;a promise or firm decision to do something;commitment to education;0
1;2;ad;corporate;корпоративный;She'll supervise the infrastructure handling her corporate ventures.;There would be no development or benefit for developing countries in the corporate global economy.;The extra money that you helped raise through private donations has sparked significant corporate interest.;relating to a large company or group;corporate culture;0
1;3;n;course;курс обучения;All staff underwent a mandatory conduct and discipline online course.;An intensive course on financial monitoring and review throughout the project cycle was also held.;She prepaid for the whole course.;a series of lessons about a particular subject;a ten-week course in computing;0
1;4;n;degree;ученая степень, диплом;She has a degree in physics;He graduated with a criminal law degree.;You still have your medical degree.;a qualification given for completing a university course;arts degree;0
1;5;n;development;развитие;Research interests include development finance;Economic development must become sustainable.;Your discovery could be one of the most important milestones in human development.;the process of growing, changing, or becoming more advanced;personal development;0
1;6;n;experience;опыт;To learn from the experience you get;Have you had any experience?;You've been sent up to training division because of your lengthy experience.;knowledge that you get from doing a job, or from doing, seeing, or feeling something;gain experience;0
1;7;n;incentive;стимул;We must give him some sort of incentive.;Had no incentive to listen.;Well, you've got some fine incentives.;something that encourages you to act in a particular way;material incentives;0
1;8;n;job;particular type of work activity;I got in this job to help people, not for the job.;That's their job, and they do that very well.;He's looking for a job.;the regular work that you do in order to earn money;a steady job;0
1;9;n;knowledge;знание;He took the car without my knowledge.;He has an academic knowledge.;He says he has a thirst for knowledge.;information and understanding that you have in your mind;knowledge of naval history;0
1;10;n;overtime;сверхурочная работа; No overtime was paid to professional staff in the common system.;Night and overtime work is prohibited.;I'm always doing overtime.;extra time that you work after your usual working hours;unpaid overtime;0
1;11;ad;permanent;постоянный;They are hired permanent.;You're on permanent vacation.;Do you have a permanent address?;continuing forever or for a long time;permanent access;0
1;12;n;promotion;повышение;It was great till he took that promotion.;At the time, this job was a big promotion for me.;You really do want that promotion.;If you get a promotion, you get a more important job in your organization.;to get a promotion;0
1;13;n;qualification;квалификация;Have you any special qualifications?;I have no qualifications.;I'm talking about his medical qualifications.;the skills, qualities, or experience that you need in order to do something;increase of qualification;0
1;14;v;to recruit;нанимать;You recruited me five years ago.;I recruited 5 students;We recruited you because you're a good worker.;to try to persuade someone to work for a company or to join an organization;to recruit only the best;0
1;15;n;responsibility;ответственность;Of course this is my responsibility.;In that way, you are free of responsibility.;Mark definitely has more responsibility.;something that it is your job or duty to deal with;corporate responsibility;0
1;16;n;salary;зарплата;I'm paying top salaries;They didn't even give her the salary.;How much is your salary?;a fixed amount of money that you receive from your employer, usually every month;a minimum salary;0
1;17;n;skill;умение;I have good communication skills;You will be trained in telephone skills, including how to provide quality customer service.;It's a highly technical skill.;the ability to do an activity or job well, especially because you have practised it;communication skills;0
1;18;n;staff ;персонал;The whole staff respects you.;I have to check in with a member of my staff.;She has a bigger office staff than I have.;the people who work for an organization;supervising staff;0
2;19;n;accountant;бухгалтер;She has a job as an accountant.;My dad should make you chief accountant.;;someone whose job is to keep or examine the financial records of a company or organization;chartered accountant;0
2;20;n;budgeting;составление бюджета;Information for budgeting, planning and control purposes.;Implement program budgeting at the central and local levels.;I look after budgeting and planning any future investment;to plan how much money you will spend on something;programme budgeting, budgeting period;0
2;21;n;campaign;кампания;We currently work on a promotional campaign.;The campaign failed because of public apathy.;;a series of organized activities or events intended to achieve a result;to launch a campaign, to mount a campaign, to organize a campaign;0
2;22;n;chain (of shops);сеть (магазинов);Mcdonalds is a a fast food restaurant chain.;I work for a chain of shops, that takes place all over England.;;a number of similar shops, restaurants, etc owned by the same company;department-store chain, hotel chain;0
2;23;n;customer;покупатель;The majority of his customers prefer this particular product.;She is one of our best customers.;We need to build customers relationship.;a person or organization that buys goods or services from a shop or business;to attend customers;0
2;24;n;deadline;крайний срок;The deadline is not far off.;The deadline for applications is May 21st.;I missed the deadline but was granted an extension.;a time by which something must be done;to meet a deadline, deadline date ;0
2;25;n;employee;работник;I'm pleased to announce that every employee will be given a bonus.;They hired a new employee.;;someone who is paid to work for a person or company;take on (2) employees;0
2;26;n;figures;цифры;You need to to check figures in your last report.;You provide reliable figures.;;a symbol for a number;;0
2;27;n;goal;цель;Our main goal is to earn money.;It is important to pursue the main goal in your life.;He achieved his goal to have a degree.;something you want to do successfully in the future;to reach the goal, to achieve the goal;0
2;28;n;receptionist;секретарь;You already have a new receptionist.;I thought maybe she could be the new receptionist.;;someone who works in a hotel or office building, answering the telephone and dealing with guests;;0
2;29;n;report;отчёт;I read your reports about last year.;I'll send that efficiency report to the boss in next two days.;;a description of an event or situation;to write a report;0
2;30;n;team-building activities;деятельность для поддержания командного духа;Our company need to arrange team-building activities for the staff.;Team-building activities impove relationships.;;the process of encouraging members of a group to work well together, for example by having them take part in activities or games;;0
3;31;n;approval;одобрение;I don't need his approval ;We'll keep our strategy with or without their approval.;I wouldn't like to do anything without his approval.;the feeling of having a positive opinion of someone or something;official approval;0
3;32;v;to assign;поручать;Why don't you just assign the project to someone else.;I've been assigned to work on this project.;The chief assigned this case to me.;to give a particular job or piece of work to someone;to assign the task;0
3;33;v;to emphasize;придавать значение, подчеркивать;We must emphasize the strengths of the company, not its weaknesses.;I want to emphasize one thing.;I'd like to emphasize on her style.;to show that something is very important or worth giving attention to;to emphasize the importance;0
3;34;n;follow-up;последующее мероприятие;The programme includes regularly scheduled follow-up career counselling for participants.;A follow-up interview was released on March.;The follow-up visit is an important step building our cooperation.;a further action connected with something that happened before;a follow-up meeting;0
3;35;v;to initiate;начинать;The program was initiated by the state government.;We must initiate intergovernmental negotiations.;I didn't initiate it.;to cause something to begin;to initiate an immediate course change;0
4;36;n;advertisement;реклама;The company has spent a lot of money on advertisement.;We place an advertisement in a new magazine.;;a paid notice that tells people about a product or service;to place an advertisement, to publish  an advertisement, to run an advertisement;0
4;37;n;candidate;кандидат;He is a good candidate fot this position.;Neither candidate won the debate.;;a person who is competing to get a job or elected position;;0
4;38;ad;critical;решающий, переломный;It was a critical decision to sign the contract.;Create a new advertisement is a critical element of the plan.;;extremely important to the progress or success of something;;0
4;39;n;equipment;оборудование;We will provide any required equipment for the conference.;These equipment were completely new.;;the set of necessary tools, clothing, etc. for a particular purpose;;0
4;40;n;face to face;лицом к лицу;Today we will have a face to face meeting with representors. ;I have never seen him face to face.;;directly, meeting someone in the same place;;0
5;41;n;awareness;осведомленность;We increase public awareness.;I'm doing it to test your awareness of an opponent's location;There's such a keen awareness of the job.;knowledge that something exists, or understanding of a situation or subject at the present time based on information or experience;brand awareness;0
5;42;v;to launch;выпускать (о новом продукте);They launch a product tomorrow.;;;to begin something such as a plan or introduce something new such as a product;to launch new service;0
5;43;n;leaflet;листовка;A useful leaflet on how to fill in tax forms was published yesterday;This information is included in the future leaflet.;One thousand copies of the promotional leaflet were also published and widely distributed.;a piece of paper that gives you information or advertises something;an informative leaflet;0
5;44;n;sample;образец;I can show you samples of our work.;I've got some great samples; We took some fibre samples from his jacket.;a small amount of something that shows you what the rest is or should be like;a free sample of chocolate;0
6;45;n;department;отдел;Our sales department create a really good plan for future year.;Research department find out that figures are not right.;;one part of a large organization, such as a company or university, that deals with a particular area of work, business, study, etc.;;0
